left,right,metric,paired_seeds,left_minus_right_mean,ci95_low,ci95_high
gather-robust,scatter-only,nrmse,5,-0.39343378151822767,-0.4279258464249834,-0.35894171661147195
gather-robust,scatter-only,log_luma_mae,5,-0.05520585373044014,-0.05602390344071184,-0.054387804020168434
gather-robust,scatter-only,luminance_bias,5,0.0003242179148583091,-0.0012195188843032348,0.0018679547140198528
gather-robust,scatter-backup,nrmse,5,-0.11309817511584279,-0.19292616770544596,-0.0332701825262396
gather-robust,scatter-backup,log_luma_mae,5,-0.013375387117266654,-0.013915855471643552,-0.012834918762889756
gather-robust,scatter-backup,luminance_bias,5,-0.0004892623163505049,-0.0025405172544583545,0.001561992621757345
scatter-only,scatter-backup,nrmse,5,0.28033560640238486,0.22269897315095544,0.3379722396538143
scatter-only,scatter-backup,log_luma_mae,5,0.04183046661317348,0.04124064340547232,0.04242028982087464
scatter-only,scatter-backup,luminance_bias,5,-0.000813480231208814,-0.0021214781677353738,0.0004945177053177458
