mode,seed,frame,mask_pixels,nrmse,log_luma_mae,luminance_bias,masked_nonfinite_rate,full_nonfinite_rate
scatter-only,1009,35,1700,0.8738193775459259,0.1172289177775383,-0.01029611099511385,0.0,0.0
scatter-only,2027,35,1700,0.8397131879685759,0.118274986743927,-0.0005429897573776543,0.0,0.0
scatter-only,4093,35,1700,0.8474453827011033,0.11959198862314224,0.00251484545879066,0.0,0.0
scatter-only,8089,35,1700,0.8892898966757382,0.12548260390758514,-0.002289795083925128,0.0,0.0
scatter-backup,101,35,1700,0.6451441036597233,0.06542038917541504,-0.0004130224697291851,0.0,0.0
scatter-backup,1009,35,1700,0.6079786723509345,0.06353704631328583,-0.0006712383474223316,0.0,0.0
scatter-backup,2027,35,1700,0.6440757471604645,0.06676596403121948,0.005224128253757954,0.0,0.0
scatter-backup,4093,35,1700,0.6413644642021551,0.065349280834198,-0.0044795311987400055,0.0,0.0
scatter-backup,8089,35,1700,0.5476348564337906,0.06628043949604034,0.0032309088855981827,0.0,0.0
gather-robust,101,44,3610,0.4314149376362038,0.029984544962644577,0.00020861781376879662,0.0,0.0
gather-robust,1009,44,3610,0.41685700076177684,0.02982158213853836,-0.0019990000873804092,0.0,0.0
gather-robust,2027,44,3610,0.4280757417076733,0.0307833980768919,0.0016792045207694173,0.0,0.0
gather-robust,4093,44,3610,0.41562360997983283,0.03011050634086132,-0.0003525788779370487,0.0,0.0
gather-robust,8089,44,3610,0.5225523917808587,0.030363447964191437,0.0010294734966009855,0.0,0.0
scatter-only,101,44,3610,0.894875516517689,0.08002755045890808,0.005046360194683075,0.0,0.0
scatter-only,1009,44,3610,0.9390361901990311,0.08036931604146957,-0.0025207162834703922,0.0,0.0
scatter-only,2027,44,3610,0.8427358594066722,0.07835185527801514,-0.000917151803150773,0.0,0.0
scatter-only,4093,44,3610,0.9288389242056712,0.08313796669244766,-0.0007457224419340491,0.0,0.0
scatter-only,8089,44,3610,0.8663225151928496,0.07867096364498138,-0.003724076086655259,0.0,0.0
scatter-backup,101,44,3610,0.8430522622902978,0.04574346914887428,0.00674470653757453,0.0,0.0
scatter-backup,1009,44,3610,0.5240631434090512,0.043444715440273285,-0.00252922298386693,0.0,0.0
scatter-backup,2027,44,3610,0.5992953675782865,0.04450080916285515,0.001092502730898559,0.0,0.0
scatter-backup,4093,44,3610,0.5490861681654469,0.04299895465373993,5.237468212726526e-05,0.0,0.0
scatter-backup,8089,44,3610,0.6485865881716442,0.04359402135014534,1.4538084542436991e-05,0.0,0.0
gather-robust,101,53,2738,0.462075872047664,0.036795467138290405,-0.003373387036845088,0.0,0.0
gather-robust,1009,53,2738,0.4227948906281545,0.03910249471664429,-0.001026807469315827,0.0,0.0
gather-robust,2027,53,2738,0.3965798169364401,0.03733925521373749,0.0015965870115906,0.0,0.0
gather-robust,4093,53,2738,0.4138523227558666,0.03872012346982956,-0.0021306576672941446,0.0,0.0
gather-robust,8089,53,2738,0.417609703621188,0.03708697855472565,-0.0028509912081062794,0.0,0.0
scatter-only,101,53,2738,0.9208992874375087,0.09570141136646271,-0.0020853839814662933,0.0,0.0
scatter-only,1009,53,2738,0.8964468939275593,0.09580322355031967,0.0018516123527660966,0.0,0.0
scatter-only,2027,53,2738,0.937238890859686,0.09430050104856491,0.0037571333814412355,0.0,0.0
scatter-only,4093,53,2738,0.8439270658320865,0.09180767834186554,-0.005676122382283211,0.0,0.0
scatter-only,8089,53,2738,0.8663323165222697,0.09397566318511963,-0.0030807233415544033,0.0,0.0
scatter-backup,101,53,2738,0.6493368535142972,0.05188564956188202,0.002916037803515792,0.0,0.0
scatter-backup,1009,53,2738,0.5365318935590968,0.05041586235165596,-0.004937993828207254,0.0,0.0
scatter-backup,2027,53,2738,0.5107466073928025,0.052416447550058365,-0.0007205595611594617,0.0,0.0
scatter-backup,4093,53,2738,0.7811041503191704,0.05175039917230606,0.0027684865053743124,0.0,0.0
scatter-backup,8089,53,2738,0.509766790645712,0.04986711964011192,-0.0037778900004923344,0.0,0.0
gather-robust,101,62,2970,0.48173772879917187,0.036508120596408844,-0.003609758336097002,0.0,0.0
gather-robust,1009,62,2970,0.4668789180652998,0.03693292289972305,-0.0007273064693436027,0.0,0.0
gather-robust,2027,62,2970,0.4526889876357983,0.03778768703341484,-0.0004744585894513875,0.0,0.0
gather-robust,4093,62,2970,0.4151662650116785,0.03598998859524727,-0.00166109309066087,0.0,0.0
gather-robust,8089,62,2970,0.4916667445857046,0.0374874472618103,-0.0015473118983209133,0.0,0.0
scatter-only,101,62,2970,0.8784097125656434,0.09348541498184204,-0.003924061544239521,0.0,0.0
scatter-only,1009,62,2970,0.8557115120690291,0.09190157800912857,0.0011497626546770334,0.0,0.0
scatter-only,2027,62,2970,0.8913705671055118,0.0943809226155281,-0.0004340358718764037,0.0,0.0
scatter-only,4093,62,2970,0.821687415789588,0.09228071570396423,-0.006147340871393681,0.0,0.0
scatter-only,8089,62,2970,0.8601524501108254,0.0945453867316246,-0.0010811489773914218,0.0,0.0
scatter-backup,101,62,2970,0.5608979014943073,0.05210896581411362,-0.0007638613460585475,0.0,0.0
scatter-backup,1009,62,2970,0.5451414477773279,0.05071498826146126,-0.0010942581575363874,0.0,0.0
scatter-backup,2027,62,2970,0.525037689690018,0.05195098742842674,-0.0005479432875290513,0.0,0.0
scatter-backup,4093,62,2970,0.4848793793234682,0.0491291806101799,-0.0016982000088319182,0.0,0.0
scatter-backup,8089,62,2970,0.5246862703956656,0.05120127275586128,-0.002001859713345766,0.0,0.0
gather-robust,101,71,3082,0.4592976610092341,0.04162874072790146,-0.0024671100545674562,0.0,0.0
gather-robust,1009,71,3082,0.46522273954617266,0.040011461824178696,-0.004053668584674597,0.0,0.0
gather-robust,2027,71,3082,0.5052880837199418,0.040680598467588425,0.001979431603103876,0.0,0.0
gather-robust,4093,71,3082,0.8095568634356507,0.04361182823777199,0.00023526475706603378,0.0,0.0
gather-robust,8089,71,3082,0.47690707043295494,0.04180717468261719,-0.0022078189067542553,0.0,0.0
scatter-only,101,71,3082,0.8980947622367114,0.10278039425611496,-0.0004933327436447144,0.0,0.0
scatter-only,1009,71,3082,0.8484500165773435,0.09997103363275528,-0.006753731518983841,0.0,0.0
scatter-only,2027,71,3082,0.8796036632535809,0.10214178264141083,0.0015875761164352298,0.0,0.0
scatter-only,4093,71,3082,0.89275947270742,0.1038803681731224,-0.0010937306797131896,0.0,0.0
scatter-only,8089,71,3082,0.9078644907017884,0.1027098298072815,0.003299020929262042,0.0,0.0
scatter-backup,101,71,3082,0.5266878709908849,0.054204851388931274,-0.0019507005345076323,0.0,0.0
scatter-backup,1009,71,3082,0.5128978757362823,0.05342234671115875,-0.0032532382756471634,0.0,0.0
scatter-backup,2027,71,3082,0.5368347471103916,0.05286122113466263,-0.0018176970770582557,0.0,0.0
scatter-backup,4093,71,3082,0.6360652931041332,0.055909182876348495,0.004018176347017288,0.0,0.0
scatter-backup,8089,71,3082,0.5842666258204147,0.056923530995845795,0.002865608548745513,0.0,0.0
gather-robust,101,80,3191,0.43091548859356515,0.03928308188915253,-0.004016325809061527,0.0,0.0
gather-robust,1009,80,3191,0.45532613607585604,0.04083329066634178,0.001537703792564571,0.0,0.0
gather-robust,2027,80,3191,0.457115750260609,0.041707076132297516,0.0005237391451373696,0.0,0.0
