frame,mask_pixels,nrmse,log_luma_mae,luminance_bias,masked_nonfinite_rate,full_nonfinite_rate
8,2226,0.026205938805281458,0.0031071752309799194,-0.00017289500101469457,0.0,0.0
17,3249,0.027405290942265417,0.0029135169461369514,-0.00017415595357306302,0.0,0.0
26,3432,0.03050923931347458,0.003110829507932067,-7.953234444357804e-07,0.0,0.0
35,1700,0.025435288388856715,0.004289174452424049,0.00023749590036459267,0.0,0.0
44,3610,0.026902485402117853,0.0028658329974859953,-3.71146816178225e-05,0.0,0.0
53,2738,0.025678785049483267,0.003358658868819475,-0.00011428672587499022,0.0,0.0
62,2970,0.027386245496461382,0.003571295877918601,-7.983480463735759e-05,0.0,0.0
71,3082,0.028460509028825423,0.0039329747669398785,3.3077554689953104e-05,0.0,0.0
80,3191,0.0292785819437073,0.003936936147511005,0.00011861936218338087,0.0,0.0
89,3567,0.03103242909004455,0.004200534895062447,6.705675332341343e-05,0.0,0.0
