mode,frames,gpu_mean_ms,gpu_stddev_ms,gpu_min_ms,gpu_max_ms
no-temporal-reuse,68,2.2810842990875244,0.36245831847190857,2.1288959980010986,4.435967922210693
gather-robust,68,5.050202369689941,0.33279845118522644,2.4944639205932617,5.362688064575195
scatter-only,68,3.167909622192383,0.10992176085710526,2.292992115020752,3.2576000690460205
scatter-backup,68,5.410454750061035,0.39243534207344055,2.22489595413208,5.57696008682251
multi-splatting,68,3.1141045093536377,0.11102470010519028,2.2325758934020996,3.221247911453247
