left,right,metric,paired_seeds,left_minus_right_mean,ci95_low,ci95_high
gather-robust,scatter-only,nrmse,5,-0.39135787024415897,-0.42850598211441365,-0.3542097583739043
gather-robust,scatter-only,log_luma_mae,5,-0.05755301192402841,-0.05845761507495616,-0.056648408773100664
gather-robust,scatter-only,luminance_bias,5,0.00022174794912643847,-0.0014833604650528816,0.0019268563633057585
gather-robust,scatter-backup,nrmse,5,-0.11823482550466453,-0.20982468504682528,-0.02664496596250379
gather-robust,scatter-backup,log_luma_mae,5,-0.01420534797012806,-0.01480551702942754,-0.01360517891082858
gather-robust,scatter-backup,luminance_bias,5,-0.0005387584763047926,-0.00273183396110855,0.001654317008498965
scatter-only,scatter-backup,nrmse,5,0.27312304473949445,0.2041735149653494,0.3420725745136395
scatter-only,scatter-backup,log_luma_mae,5,0.04334766395390034,0.042683071755809175,0.04401225615199151
scatter-only,scatter-backup,luminance_bias,5,-0.000760506425431231,-0.002177899666810975,0.0006568868159485129
