frame,mask_pixels,nrmse,log_luma_mae,luminance_bias,masked_nonfinite_rate,full_nonfinite_rate
8,1788,0.025702830757825874,0.003071190556511283,-9.579469042364508e-05,0.0,0.0
17,2817,0.027004950131799186,0.002861318178474903,-0.00018678152991924435,0.0,0.0
26,2934,0.030342650986177288,0.0030438622925430536,-3.6836623621638864e-05,0.0,0.0
35,1209,0.024210965168765218,0.004588414449244738,0.00020770393894053996,0.0,0.0
44,3105,0.025993674521012033,0.0027923460584133863,-2.1752106476924382e-05,0.0,0.0
53,2244,0.024798093352560748,0.0034193936735391617,-0.0001860373595263809,0.0,0.0
62,2871,0.027359451661877806,0.00357161951251328,-6.191994907567278e-05,0.0,0.0
71,3003,0.028536538974701944,0.003948393743485212,2.1339519662433304e-05,0.0,0.0
80,3158,0.0294074865958208,0.003942464478313923,0.00011273036216152832,0.0,0.0
89,3522,0.031202641505427876,0.004198250826448202,9.090204548556358e-05,0.0,0.0
