left,right,metric,paired_seeds,left_minus_right_mean,ci95_low,ci95_high
gather-robust,scatter-only,nrmse,5,-0.39548460061962676,-0.4332088189533524,-0.3577603822859011
gather-robust,scatter-only,log_luma_mae,5,-0.05715425651520491,-0.05809862027193189,-0.056209892758477924
gather-robust,scatter-only,luminance_bias,5,0.00025828441044723144,-0.0014647126783621993,0.001981281499256662
gather-robust,scatter-backup,nrmse,5,-0.11917241442606948,-0.2041918263405697,-0.03415300251156926
gather-robust,scatter-backup,log_luma_mae,5,-0.014121620617806913,-0.014710632727243845,-0.013532608508369981
gather-robust,scatter-backup,luminance_bias,5,-0.0006085281527339248,-0.0027566584569859833,0.0015396021515181335
scatter-only,scatter-backup,nrmse,5,0.27631218619355724,0.2144915593014212,0.3381328130856933
scatter-only,scatter-backup,log_luma_mae,5,0.043032635897397996,0.0423680364421168,0.04369723535267919
scatter-only,scatter-backup,luminance_bias,5,-0.0008668125631811563,-0.0020912477105076432,0.00035762258414533067
